,disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate
497,1747,917.0,4800659.42,3951572.59,849086.83,,,,2019-09-03T00:00:00.000Z
498,1742,,,,,,,,
499,1737,,,,,,,,
500,1745,730.0,4069837.78,2771174.97,1298662.81,,,,2019-09-03T00:00:00.000Z
501,1767,,,,,,,,
502,1755,263.0,1261470.96,1093134.16,168336.8,,,,2019-09-03T00:00:00.000Z
503,1751,3200.0,11670465.18,10030933.28,1639531.9,,,,2019-09-03T00:00:00.000Z
504,1752,,,,,,,,
505,1757,,,,,,,,
506,1777,,,,,,,,
507,1782,,,,,,,,
508,1765,,,,,,,,
509,1741,,,,,,,,
510,1761,1002.0,2458564.0,1897324.21,561239.79,,,,2019-09-03T00:00:00.000Z
511,1766,10278.0,56449366.63,47181025.55,9268341.08,,,,2019-09-03T00:00:00.000Z
512,1740,1995.0,7674152.07,6753112.89,921039.18,,,,2019-09-03T00:00:00.000Z
513,1762,134.0,419744.26,172931.52,246812.74,,,,2019-09-03T00:00:00.000Z
514,1787,,,,,,,,
515,1746,210.0,1466605.44,1198433.35,268172.09,,,,2019-09-03T00:00:00.000Z
516,1792,12278.0,63878324.09,54137482.22,9740841.87,,,,2019-09-03T00:00:00.000Z
517,1817,2059.0,9506708.04,8474203.73,1032504.31,,,,2019-09-03T00:00:00.000Z
518,1842,1284.0,6501748.46,5943688.23,558060.23,,,,2019-09-03T00:00:00.000Z
519,1771,1752.0,10024142.17,8979826.09,1044316.08,,,,2019-09-03T00:00:00.000Z
520,1796,,,,,,,,
521,1821,,,,,,,,
522,1846,115.0,2055904.84,1798705.32,257199.52,,,,2019-09-03T00:00:00.000Z
523,1807,,,,,,,,
524,1812,,,,,,,,
525,1832,977.0,2961606.39,2685781.9,275824.49,,,,2019-09-03T00:00:00.000Z
526,1837,,,,,,,,
527,1857,927.0,4626437.19,4297309.99,329127.2,,,,2019-09-03T00:00:00.000Z
528,1862,,,,,,,,
529,1786,71206.0,216888044.03,165776649.38,51111394.65,,,,2019-09-03T00:00:00.000Z
530,1791,121641.0,531866266.34,412559078.82,119307187.52,,,,2019-09-03T00:00:00.000Z
531,1811,,,,,,,,
532,1816,,,,,,,,
533,1836,,,,,,,,
534,1841,3176.0,15106854.42,13370790.11,1736064.31,,,,2019-09-03T00:00:00.000Z
535,1797,,,,,,,,
536,1750,369.0,1345162.7,1061095.33,284067.37,,,,2019-09-03T00:00:00.000Z
537,1822,,,,,,,,
538,1772,,,,,,,,
539,1847,1241.0,5417824.37,5010124.02,407700.35,,,,2019-09-03T00:00:00.000Z
540,1760,166.0,1642832.66,1291904.6,350928.06,,,,2019-09-03T00:00:00.000Z
541,1776,,,,,,,,
542,1756,202.0,1469127.78,778243.02,690884.76,,,,2019-09-03T00:00:00.000Z
543,1801,,,,,,,,
544,1802,,,,,,,,
545,1826,,,,,,,,
546,1827,,,,,,,,
547,1851,,,,,,,,
548,1852,,,,,,,,
549,1781,,,,,,,,
550,1806,,,,,,,,
551,1831,705.0,3220613.51,2916598.19,304015.32,,,,2019-09-03T00:00:00.000Z
552,1856,,,,,,,,
553,1867,,,,,,,,
554,1872,,,,,,,,
555,1892,,,,,,,,
556,1770,737.0,1560229.95,1320958.06,239271.89,,,,2019-09-03T00:00:00.000Z
557,1790,,,,,,,,
558,1795,11107.0,36905735.96,31083614.42,5822121.54,,,,2019-09-03T00:00:00.000Z
559,1754,,,,,,,,
560,1759,,,,,,,,
561,1779,,,,,,,,
562,1784,,,,,,,,
563,1804,,,,,,,,
564,1809,2105.0,6869983.55,5100986.2,1768997.35,,,,2019-09-03T00:00:00.000Z
565,1829,2993.0,7862984.44,7434137.3,428847.14,,,,2019-09-03T00:00:00.000Z
566,1834,282.0,1864525.69,1583637.41,280888.28,,,,2019-09-03T00:00:00.000Z
567,1854,,,,,,,,
568,1859,4429.0,22780503.01,18259342.0,4521161.01,,,,2019-09-03T00:00:00.000Z
569,1879,,,,,,,,
570,1884,,,,,,,,
571,1743,,,,,,,,
572,1748,,,,,,,,
573,1882,,,,,,,,
574,1780,13402.0,34868169.3,29354250.25,5513919.05,,,,2019-09-03T00:00:00.000Z
575,1887,,,,,,,,
576,1744,541.0,4360723.47,3402839.22,957884.25,,,,2019-09-03T00:00:00.000Z
577,1785,5383.0,19216129.55,17095730.28,2120399.27,,,,2019-09-03T00:00:00.000Z
578,1769,589.0,2619379.95,2404215.89,215164.06,,,,2019-09-03T00:00:00.000Z
579,1749,3481.0,13924227.09,12299985.24,1624241.85,,,,2019-09-03T00:00:00.000Z
580,1794,1966.0,7176481.13,5986936.24,1189544.89,,,,2019-09-03T00:00:00.000Z
581,1774,,,,,,,,
582,1819,,,,,,,,
583,1799,,,,,,,,
584,1844,,,,,,,,
585,1824,,,,,,,,
586,1869,,,,,,,,
587,1849,,,,,,,,
588,1894,14743.0,37132716.72,33983726.63,3148990.09,,,,2019-09-03T00:00:00.000Z
589,1874,,,,,,,,
590,1738,199.0,1928655.92,1789105.28,139550.64,,,,2019-09-03T00:00:00.000Z
591,1877,,,,,,,,
592,1775,,,,,,,,
593,1739,,,,,,,,
594,1764,164.0,549480.66,447761.87,101718.79,,,,2019-09-03T00:00:00.000Z
595,1789,,,,,,,,
596,1814,698.0,3674159.05,2920671.78,753487.27,,,,2019-09-03T00:00:00.000Z
597,1839,,,,,,,,
598,1864,,,,,,,,
599,1889,,,,,,,,
600,1753,250.0,1598081.52,1371741.06,226340.46,,,,2019-09-03T00:00:00.000Z
601,1800,27935.0,64635964.92,57513293.79,7122671.13,,,,2019-09-03T00:00:00.000Z
602,1805,,,,,,,,
603,1825,,,,,,,,
604,1830,676.0,2440267.06,2321345.07,118921.99,,,,2019-09-03T00:00:00.000Z
605,1850,,,,,,,,
606,1855,7130.0,17693443.86,12307674.68,5385769.18,,,,2019-09-03T00:00:00.000Z
607,1875,,,,,,,,
608,1880,,,,,,,,
609,1763,24881.0,138679472.9,122353582.2,16325890.7,,,,2019-09-03T00:00:00.000Z
610,1768,23956.0,56679489.87,50118678.0,6560811.87,,,,2019-09-03T00:00:00.000Z
611,1788,,,,,,,,
612,1793,,,,,,,,
613,1813,,,,,,,,
614,1818,,,,,,,,
615,1838,2875.0,13905805.19,13048600.38,857204.81,,,,2019-09-03T00:00:00.000Z
616,1843,590.0,5852701.19,2696850.42,3155850.77,,,,2019-09-03T00:00:00.000Z
617,1863,,,,,,,,
618,1868,,,,,,,,
619,1888,,,,,,,,
620,1893,1115.0,4373420.87,4052960.37,320460.5,,,,2019-09-03T00:00:00.000Z
621,1876,,,,,,,,
622,1881,,,,,,,,
623,1810,486.0,3839488.88,3069213.15,770275.73,,,,2019-09-03T00:00:00.000Z
624,1815,,,,,,,,
625,1835,453.0,2075746.91,1830940.6,244806.31,,,,2019-09-03T00:00:00.000Z
626,1840,1913.0,7382877.18,5906743.59,1476133.59,,,,2019-09-03T00:00:00.000Z
627,1860,,,,,,,,
628,1865,,,,,,,,
629,1885,,,,,,,,
630,1890,,,,,,,,
631,1778,,,,,,,,
632,1803,,,,,,,,
633,1828,,,,,,,,
634,1853,,,,,,,,
635,1878,,,,,,,,
636,1866,,,,,,,,
637,1891,,,,,,,,
638,1773,1089.0,5367078.69,4930561.66,436517.03,,,,2019-09-03T00:00:00.000Z
639,1798,20110.0,29999815.09,12559208.69,17440606.4,,,,2019-09-03T00:00:00.000Z
640,1820,105.0,1251943.17,1000815.99,251127.18,,,,2019-09-03T00:00:00.000Z
641,1823,,,,,,,,
642,1845,,,,,,,,
643,1848,,,,,,,,
644,1873,,,,,,,,
645,1861,,,,,,,,
646,1870,,,,,,,,
647,1886,,,,,,,,
648,1758,381.0,2474245.11,2107834.16,366410.95,,,,2019-09-03T00:00:00.000Z
649,1783,,,,,,,,
650,1808,,,,,,,,
651,1833,804.0,4420415.46,4020055.64,400359.82,,,,2019-09-03T00:00:00.000Z
652,1858,13331.0,58951222.09,51103383.71,7847838.38,,,,2019-09-03T00:00:00.000Z
653,1883,,,,,,,,
654,1871,,,,,,,,
655,1904,2364.0,5283702.22,4941144.26,342557.96,,,,2019-09-03T00:00:00.000Z
656,1909,30169.0,169303511.72,146829691.09,22473820.63,,,,2019-09-03T00:00:00.000Z
657,1931,2617.0,10259307.7,8273536.99,1985770.71,,,,2019-09-03T00:00:00.000Z
658,1934,,,,,,,,
659,1901,,,,,,,,
660,1916,228.0,1320029.19,843762.76,476266.43,,,,2019-09-03T00:00:00.000Z
661,1924,,,,,,,,
662,1899,,,,,,,,
663,1921,,,,,,,,
664,1926,,,,,,,,
665,1929,,,,,,,,
666,1951,,,,,,,,
667,1976,1137.0,9203306.37,8283359.63,919946.74,,,,2019-09-03T00:00:00.000Z
668,2002,,,,,,,,
669,1969,2037.0,8587054.39,6226279.65,2360774.74,,,,2019-09-03T00:00:00.000Z
670,1906,576.0,4273071.42,3672435.69,600635.73,,,,2019-09-03T00:00:00.000Z
671,1914,,,,,,,,
672,1994,1079.0,4904077.68,3001943.65,1902134.03,,,,2019-09-03T00:00:00.000Z
673,1936,,,,,,,,
674,1903,,,,,,,,
675,1939,,,,,,,,
676,1928,,,,,,,,
677,1961,,,,,,,,
678,1915,,,,,,,,
679,1986,,,,,,,,
680,1954,,,,,,,,
681,1896,,,,,,,,
682,1911,,,,,,,,
683,1919,,,,,,,,
684,1941,,,,,,,,
685,1944,,,,,,,,
686,1966,,,,,,,,
687,1991,2266.0,15324105.42,14279071.76,1045033.66,,,,2019-09-03T00:00:00.000Z
688,1959,,,,,,,,
689,1984,1207.0,4799393.02,4685835.84,113557.18,,,,2019-09-03T00:00:00.000Z
690,2010,,,,,,,,
691,1918,1511.0,5733945.27,5357251.61,376693.66,,,,2019-09-03T00:00:00.000Z
692,1905,,,,,,,,
693,1956,,,,,,,,
694,1981,7469.0,95754618.67,93631947.01,2122671.66,,,,2019-09-03T00:00:00.000Z
695,2007,,,,,,,,
696,1974,1954.0,8585761.3,6981406.64,1604354.66,,,,2019-09-03T00:00:00.000Z
697,1999,,,,,,,,
698,1908,301.0,1549737.37,1271585.7,278151.67,,,,2019-09-03T00:00:00.000Z
699,1946,,,,,,,,
700,1933,23454.0,61762768.74,48776373.72,12986395.02,,,,2019-09-03T00:00:00.000Z
701,1949,,,,,,,,
702,2012,,,,,,,,
703,1971,16375.0,77097372.06,57302364.2,19795007.86,,,,2019-09-03T00:00:00.000Z
704,1938,,,,,,,,
705,1996,2077.0,6708117.08,6271847.46,436269.62,,,,2019-09-03T00:00:00.000Z
706,1963,,,,,,,,
707,1964,,,,,,,,
708,1988,,,,,,,,
709,2014,,,,,,,,
710,1989,302.0,3441115.24,2745020.87,696094.37,,,,2019-09-03T00:00:00.000Z
711,1925,1624.0,10602928.54,9705873.5,897055.04,,,,2019-09-03T00:00:00.000Z
712,1898,,,,,,,,
713,1950,,,,,,,,
714,1923,,,,,,,,
715,1975,4290.0,24279487.62,20707889.78,3571597.84,,,,2019-09-03T00:00:00.000Z
716,1910,,,,,,,,
717,2001,,,,,,,,
718,2027,,,,,,,,
719,2026,,,,,,,,
720,1953,,,,,,,,
721,1907,,,,,,,,
722,1978,,,,,,,,
723,2004,,,,,,,,
724,2022,,,,,,,,
725,2029,,,,,,,,
726,1948,,,,,,,,
727,1940,,,,,,,,
728,1973,1272.0,5526673.58,4096508.97,1430164.61,,,,2019-09-03T00:00:00.000Z
729,1998,777.0,4820193.95,4623721.37,196472.58,,,,2019-09-03T00:00:00.000Z
730,2032,,,,,,,,
731,2024,,,,,,,,
732,1958,,,,,,,,
733,1965,,,,,,,,
734,1979,1418.0,11386784.01,10011898.05,1374885.96,,,,2019-09-03T00:00:00.000Z
735,1990,,,,,,,,
736,2005,,,,,,,,
737,2016,,,,,,,,
738,1913,,,,,,,,
739,1897,6709.0,16839844.02,15323835.76,1516008.26,,,,2019-09-03T00:00:00.000Z
740,1900,,,,,,,,
741,2017,,,,,,,,
742,1983,1254.0,13543057.75,12834588.26,708469.49,,,,2019-09-03T00:00:00.000Z
743,2009,,,,,,,,
744,1943,,,,,,,,
745,1920,,,,,,,,
746,1968,,,,,,,,
747,1945,,,,,,,,
748,1993,,,,,,,,
749,1970,190.0,1647254.75,1412144.33,235110.42,,,,2019-09-03T00:00:00.000Z
750,2019,,,,,,,,
751,1995,556.0,1805969.74,1744834.03,61135.71,,,,2019-09-03T00:00:00.000Z
752,1930,8652.0,26438629.85,23938991.35,2499638.5,,,,2019-09-03T00:00:00.000Z
753,2021,,,,,,,,
754,1955,,,,,,,,
755,1935,108984.0,374795385.51,318219328.27,56576057.24,,,,2019-09-03T00:00:00.000Z
756,1902,,,,,,,,
757,1980,6437.0,37062310.48,22596129.42,14466181.06,,,,2019-09-03T00:00:00.000Z
758,2006,,,,,,,,
759,2031,,,,,,,,
760,1912,4258.0,20784629.22,17774255.03,3010374.19,,,,2019-09-03T00:00:00.000Z
761,1960,,,,,,,,
762,1985,,,,,,,,
763,2011,,,,,,,,
764,1895,27602.0,58954565.86,56928024.52,2026541.34,,,,2019-09-03T00:00:00.000Z
765,1917,443.0,2733258.17,2425506.08,307752.09,,,,2019-09-03T00:00:00.000Z
766,2042,,,,,,,,
767,2037,,,,,,,,
768,2034,,,,,,,,
769,2062,,,,,,,,
770,2059,,,,,,,,
771,2054,,,,,,,,
772,2046,,,,,,,,
773,2041,,,,,,,,
774,1937,,,,,,,,
775,1932,,,,,,,,
776,1962,,,,,,,,
777,1957,,,,,,,,
778,1987,,,,,,,,
779,1982,,,,,,,,
780,2013,,,,,,,,
781,2008,,,,,,,,
782,2038,,,,,,,,
783,2033,,,,,,,,
784,2063,,,,,,,,
785,2058,,,,,,,,
786,2025,,,,,,,,
787,2020,,,,,,,,
788,2050,,,,,,,,
789,2045,,,,,,,,
790,2075,,,,,,,,
791,2070,,,,,,,,
792,2100,,,,,,,,
793,2095,,,,,,,,
794,2057,,,,,,,,
795,2049,,,,,,,,
796,2036,,,,,,,,
797,1927,,,,,,,,
798,1952,,,,,,,,
799,1977,,,,,,,,
800,2003,,,,,,,,
801,2028,,,,,,,,
802,2053,,,,,,,,
803,2015,,,,,,,,
804,2040,,,,,,,,
805,2065,,,,,,,,
806,2090,,,,,,,,
807,2115,,,,,,,,
808,2047,,,,,,,,
809,2039,,,,,,,,
810,2064,,,,,,,,
811,2052,,,,,,,,
812,2051,,,,,,,,
813,2044,,,,,,,,
814,1942,1778.0,5391278.01,4319299.54,1071978.47,,,,2019-09-03T00:00:00.000Z
815,2069,,,,,,,,
816,1967,,,,,,,,
817,1922,,,,,,,,
818,1992,,,,,,,,
819,1947,,,,,,,,
820,2018,,,,,,,,
821,1972,1962.0,10653250.32,9120883.93,1532366.39,,,,2019-09-03T00:00:00.000Z
822,2043,,,,,,,,
823,1997,,,,,,,,
824,2068,,,,,,,,
825,2023,,,,,,,,
826,2030,,,,,,,,
827,2048,,,,,,,,
828,2055,,,,,,,,
829,2073,,,,,,,,
830,2080,,,,,,,,
831,2035,,,,,,,,
832,2105,,,,,,,,
833,2060,,,,,,,,
834,2085,,,,,,,,
835,2110,,,,,,,,
836,2077,,,,,,,,
837,2067,,,,,,,,
838,2102,,,,,,,,
839,2092,,,,,,,,
840,2079,,,,,,,,
841,2117,,,,,,,,
842,2104,,,,,,,,
843,2094,,,,,,,,
844,2066,,,,,,,,
845,2056,,,,,,,,
846,2091,,,,,,,,
847,2081,,,,,,,,
848,2116,,,,,,,,
849,2106,,,,,,,,
850,2098,,,,,,,,
851,2088,,,,,,,,
852,2072,,,,,,,,
853,2113,,,,,,,,
854,2097,,,,,,,,
855,2082,,,,,,,,
856,2074,,,,,,,,
857,2107,,,,,,,,
858,2099,,,,,,,,
859,2084,,,,,,,,
860,2087,,,,,,,,
861,2109,,,,,,,,
862,2112,,,,,,,,
863,2071,,,,,,,,
864,2089,,,,,,,,
865,2096,,,,,,,,
866,2114,,,,,,,,
867,2078,,,,,,,,
868,2076,,,,,,,,
869,2061,,,,,,,,
870,2101,,,,,,,,
871,2086,,,,,,,,
872,2083,,,,,,,,
873,2111,,,,,,,,
874,2108,,,,,,,,
875,2093,,,,,,,,
876,2118,,,,,,,,
877,2103,,,,,,,,
878,2125,,,,,,,,
879,2132,,,,,,,,
880,2145,,,,,,,,
881,2119,,,,,,,,
882,2142,,,,,,,,
883,2136,,,,,,,,
884,2157,,,,,,,,
885,2175,,,,,,,,
886,2200,,,,,,,,
887,2225,,,,,,,,
888,2129,,,,,,,,
889,2154,,,,,,,,
890,2127,,,,,,,,
891,2140,,,,,,,,
892,2131,,,,,,,,
893,2152,,,,,,,,
894,2122,,,,,,,,
895,2135,,,,,,,,
896,2126,,,,,,,,
897,2147,,,,,,,,
898,2165,,,,,,,,
899,2190,,,,,,,,
900,2215,,,,,,,,
901,2120,,,,,,,,
902,2144,,,,,,,,
903,2169,,,,,,,,
904,2121,,,,,,,,
905,2146,,,,,,,,
906,2160,,,,,,,,
907,2185,,,,,,,,
908,2210,,,,,,,,
909,2156,,,,,,,,
910,2139,,,,,,,,
911,2164,,,,,,,,
912,2176,,,,,,,,
913,2130,,,,,,,,
914,2201,,,,,,,,
915,2226,,,,,,,,
916,2179,,,,,,,,
917,2166,,,,,,,,
918,2204,,,,,,,,
919,2191,,,,,,,,
920,2229,,,,,,,,
921,2216,,,,,,,,
922,2123,,,,,,,,
923,2241,,,,,,,,
924,2167,,,,,,,,
925,2194,,,,,,,,
926,2192,,,,,,,,
927,2219,,,,,,,,
928,2244,,,,,,,,
929,2170,,,,,,,,
930,2138,,,,,,,,
931,2195,,,,,,,,
932,2182,,,,,,,,
933,2220,,,,,,,,
934,2137,,,,,,,,
935,2124,,,,,,,,
936,2150,,,,,,,,
937,2149,,,,,,,,
938,2141,,,,,,,,
939,2161,,,,,,,,
940,2155,,,,,,,,
941,2186,,,,,,,,
942,2180,,,,,,,,
943,2211,,,,,,,,
944,2205,,,,,,,,
945,2236,,,,,,,,
946,2151,,,,,,,,
947,2189,,,,,,,,
948,2214,,,,,,,,
949,2239,,,,,,,,
950,2133,,,,,,,,
951,2177,,,,,,,,
952,2181,,,,,,,,
953,2206,,,,,,,,
954,2231,,,,,,,,
955,2184,,,,,,,,
956,2209,,,,,,,,
957,2234,,,,,,,,
958,2128,,,,,,,,
959,2172,,,,,,,,
960,2134,,,,,,,,
961,2159,,,,,,,,
962,2171,,,,,,,,
963,2196,,,,,,,,
964,2221,,,,,,,,
965,2174,,,,,,,,
966,2199,,,,,,,,
967,2224,,,,,,,,
968,2249,,,,,,,,
969,2162,,,,,,,,
970,2187,,,,,,,,
971,2256,,,,,,,,
972,2266,,,,,,,,
973,2281,,,,,,,,
974,2259,,,,,,,,
975,2274,,,,,,,,
976,2284,,,,,,,,
977,2299,,,,,,,,
978,2309,,,,,,,,
979,2324,,,,,,,,
980,2334,,,,,,,,
981,2349,,,,,,,,
982,2359,,,,,,,,
983,2143,,,,,,,,
984,2153,,,,,,,,
985,2168,,,,,,,,
986,2178,,,,,,,,
987,2193,,,,,,,,
988,2203,,,,,,,,
989,2218,,,,,,,,
990,2228,,,,,,,,
991,2243,,,,,,,,
992,2253,,,,,,,,
993,2268,,,,,,,,
994,2202,,,,,,,,
995,2217,,,,,,,,
996,2227,,,,,,,,
997,2242,,,,,,,,
998,2252,,,,,,,,
999,2267,,,,,,,,
1000,2277,,,,,,,,
1001,2292,,,,,,,,
1002,2251,,,,,,,,
1003,2276,,,,,,,,
1004,2269,,,,,,,,
1005,2294,,,,,,,,
1006,2319,,,,,,,,
1007,2344,,,,,,,,
1008,2369,,,,,,,,
1009,2163,,,,,,,,
1010,2188,,,,,,,,
1011,2213,,,,,,,,
1012,2238,,,,,,,,
1013,2263,,,,,,,,
1014,2261,,,,,,,,
1015,2212,,,,,,,,
1016,2254,,,,,,,,
1017,2237,,,,,,,,
1018,2279,,,,,,,,
1019,2262,,,,,,,,
1020,2304,,,,,,,,
1021,2287,,,,,,,,
1022,2329,,,,,,,,
1023,2246,,,,,,,,
1024,2354,,,,,,,,
1025,2271,,,,,,,,
1026,2148,,,,,,,,
1027,2264,,,,,,,,
1028,2173,,,,,,,,
1029,2289,,,,,,,,
1030,2198,,,,,,,,
1031,2314,,,,,,,,
1032,2223,,,,,,,,
1033,2339,,,,,,,,
1034,2248,,,,,,,,
1035,2364,,,,,,,,
1036,2197,,,,,,,,
1037,2158,,,,,,,,
1038,2222,,,,,,,,
1039,2183,,,,,,,,
1040,2247,,,,,,,,
1041,2208,,,,,,,,
1042,2272,,,,,,,,
1043,2233,,,,,,,,
1044,2258,,,,,,,,
1045,2207,,,,,,,,
1046,2232,,,,,,,,
1047,2257,,,,,,,,
1048,2282,,,,,,,,
1049,2291,,,,,,,,
1050,2316,,,,,,,,
1051,2341,,,,,,,,
1052,2366,,,,,,,,
1053,2288,,,,,,,,
1054,2313,,,,,,,,
1055,2338,,,,,,,,
1056,2363,,,,,,,,
1057,2307,,,,,,,,
1058,2332,,,,,,,,
1059,2357,,,,,,,,
1060,2235,,,,,,,,
1061,2260,,,,,,,,
1062,2285,,,,,,,,
1063,2310,,,,,,,,
1064,2335,,,,,,,,
1065,2360,,,,,,,,
1066,2301,,,,,,,,
1067,2326,,,,,,,,
1068,2351,,,,,,,,
1069,2273,,,,,,,,
1070,2298,,,,,,,,
1071,2323,,,,,,,,
1072,2348,,,,,,,,
1073,2373,,,,,,,,
1074,2317,,,,,,,,
1075,2342,,,,,,,,
1076,2367,,,,,,,,
1077,2245,,,,,,,,
1078,2270,,,,,,,,
1079,2295,,,,,,,,
1080,2320,,,,,,,,
1081,2345,,,,,,,,
1082,2370,,,,,,,,
1083,2296,,,,,,,,
1084,2321,,,,,,,,
1085,2346,,,,,,,,
1086,2371,,,,,,,,
1087,2293,,,,,,,,
1088,2318,,,,,,,,
1089,2343,,,,,,,,
1090,2368,,,,,,,,
1091,2312,,,,,,,,
1092,2337,,,,,,,,
1093,2362,,,,,,,,
1094,2240,,,,,,,,
1095,2265,,,,,,,,
1096,2290,,,,,,,,
1097,2315,,,,,,,,
1098,2340,,,,,,,,
1099,2365,,,,,,,,
1100,2286,,,,,,,,
1101,2311,,,,,,,,
1102,2336,,,,,,,,
1103,2361,,,,,,,,
1104,2283,,,,,,,,
1105,2308,,,,,,,,
1106,2333,,,,,,,,
1107,2358,,,,,,,,
1108,2302,,,,,,,,
1109,2327,,,,,,,,
1110,2352,,,,,,,,
1111,2230,,,,,,,,
1112,2255,,,,,,,,
1113,2280,,,,,,,,
1114,2305,,,,,,,,
1115,2330,,,,,,,,
1116,2355,,,,,,,,
1117,2306,,,,,,,,
1118,2331,,,,,,,,
1119,2356,,,,,,,,
1120,2278,,,,,,,,
1121,2303,,,,,,,,
1122,2328,,,,,,,,
1123,2353,,,,,,,,
1124,2297,,,,,,,,
1125,2322,,,,,,,,
1126,2347,,,,,,,,
1127,2372,,,,,,,,
1128,2250,,,,,,,,
1129,2275,,,,,,,,
1130,2300,,,,,,,,
1131,2325,,,,,,,,
1132,2350,,,,,,,,
1133,2389,,,,,,,,
1134,2382,,,,,,,,
1135,2388,,,,,,,,
1136,2413,,,,,,,,
1137,2395,,,,,,,,
1138,2381,,,,,,,,
1139,2406,,,,,,,,
1140,2423,,,,,,,,
1141,2449,,,,,,,,
1142,2474,,,,,,,,
1143,2499,,,,,,,,
1144,2524,,,,,,,,
1145,2425,,,,,,,,
1146,2451,,,,,,,,
1147,2476,,,,,,,,
1148,2501,,,,,,,,
1149,2526,,,,,,,,
1150,2431,,,,,,,,
1151,2457,,,,,,,,
1152,2482,,,,,,,,
1153,2507,,,,,,,,
1154,2532,,,,,,,,
1155,2557,,,,,,,,
1156,2582,,,,,,,,
1157,2417,,,,,,,,
1158,2443,,,,,,,,
1159,2468,,,,,,,,
1160,2493,,,,,,,,
1161,2518,,,,,,,,
1162,2543,,,,,,,,
1163,2568,,,,,,,,
1164,2409,,,,,,,,
1165,2434,,,,,,,,
1166,2460,,,,,,,,
1167,2485,,,,,,,,
1168,2374,,,,,,,,
1169,2399,,,,,,,,
1170,2392,,,,,,,,
1171,2398,,,,,,,,
1172,2380,,,,,,,,
1173,2405,,,,,,,,
1174,2391,,,,,,,,
1175,2416,,,,,,,,
1176,2433,,,,,,,,
1177,2459,,,,,,,,
1178,2484,,,,,,,,
1179,2509,,,,,,,,
1180,2534,,,,,,,,
1181,2435,,,,,,,,
1182,2461,,,,,,,,
1183,2486,,,,,,,,
1184,2511,,,,,,,,
1185,2536,,,,,,,,
1186,2442,,,,,,,,
1187,2467,,,,,,,,
1188,2492,,,,,,,,
1189,2517,,,,,,,,
1190,2542,,,,,,,,
1191,2567,,,,,,,,
1192,2402,,,,,,,,
1193,2427,,,,,,,,
1194,2384,,,,,,,,
1195,2377,,,,,,,,
1196,2383,,,,,,,,
1197,2408,,,,,,,,
1198,2390,,,,,,,,
1199,2375,,,,,,,,
1200,2401,,,,,,,,
1201,2418,,,,,,,,
1202,2444,,,,,,,,
1203,2469,,,,,,,,
1204,2494,,,,,,,,
1205,2519,,,,,,,,
1206,2420,,,,,,,,
1207,2446,,,,,,,,
1208,2471,,,,,,,,
1209,2496,,,,,,,,
1210,2521,,,,,,,,
1211,2426,,,,,,,,
1212,2452,,,,,,,,
1213,2477,,,,,,,,
1214,2502,,,,,,,,
1215,2527,,,,,,,,
1216,2552,,,,,,,,
1217,2577,,,,,,,,
1218,2412,,,,,,,,
1219,2437,,,,,,,,
1220,2463,,,,,,,,
1221,2488,,,,,,,,
1222,2513,,,,,,,,
1223,2538,,,,,,,,
1224,2563,,,,,,,,
1225,2588,,,,,,,,
1226,2429,,,,,,,,
1227,2455,,,,,,,,
1228,2480,,,,,,,,
1229,2505,,,,,,,,
1230,2379,,,,,,,,
1231,2404,,,,,,,,
1232,2378,,,,,,,,
1233,2403,,,,,,,,
1234,2385,,,,,,,,
1235,2410,,,,,,,,
1236,2396,,,,,,,,
1237,2421,,,,,,,,
1238,2438,,,,,,,,
1239,2464,,,,,,,,
1240,2489,,,,,,,,
1241,2514,,,,,,,,
1242,2415,,,,,,,,
1243,2441,,,,,,,,
1244,2466,,,,,,,,
1245,2491,,,,,,,,
1246,2516,,,,,,,,
1247,2541,,,,,,,,
1248,2447,,,,,,,,
1249,2472,,,,,,,,
1250,2497,,,,,,,,
1251,2522,,,,,,,,
1252,2547,,,,,,,,
1253,2572,,,,,,,,
1254,2407,,,,,,,,
